gid=,1, btcnt=,0, method=,M,prejudgesize=,5
gid=,1, btcnt=,45, method=,D,prejudgesize=,5
gid=,1, btcnt=,391, method=,R,prejudgesize=,5
gid=,1, btcnt=,0, method=,M,prejudgesize=,6
gid=,1, btcnt=,9, method=,D,prejudgesize=,6
gid=,1, btcnt=,124, method=,R,prejudgesize=,6
gid=,1, btcnt=,0, method=,M,prejudgesize=,2
gid=,1, btcnt=,68, method=,D,prejudgesize=,2
gid=,1, btcnt=,265, method=,R,prejudgesize=,2
gid=,1, btcnt=,0, method=,M,prejudgesize=,0
gid=,1, btcnt=,46, method=,D,prejudgesize=,0
gid=,1, btcnt=,243, method=,R,prejudgesize=,0
gid=,2, btcnt=,0, method=,M,prejudgesize=,5
gid=,2, btcnt=,7, method=,D,prejudgesize=,5
gid=,2, btcnt=,8, method=,R,prejudgesize=,5
gid=,2, btcnt=,0, method=,M,prejudgesize=,6
gid=,2, btcnt=,1, method=,D,prejudgesize=,6
gid=,2, btcnt=,5, method=,R,prejudgesize=,6
gid=,2, btcnt=,0, method=,M,prejudgesize=,2
gid=,2, btcnt=,16, method=,D,prejudgesize=,2
gid=,2, btcnt=,23, method=,R,prejudgesize=,2
gid=,2, btcnt=,0, method=,M,prejudgesize=,0
gid=,2, btcnt=,7, method=,D,prejudgesize=,0
gid=,2, btcnt=,23, method=,R,prejudgesize=,0
gid=,3, btcnt=,0, method=,M,prejudgesize=,5
gid=,3, btcnt=,7, method=,D,prejudgesize=,5
gid=,3, btcnt=,0, method=,R,prejudgesize=,5
gid=,3, btcnt=,0, method=,M,prejudgesize=,6
gid=,3, btcnt=,1, method=,D,prejudgesize=,6
gid=,3, btcnt=,0, method=,R,prejudgesize=,6
gid=,3, btcnt=,0, method=,M,prejudgesize=,2
gid=,3, btcnt=,16, method=,D,prejudgesize=,2
gid=,3, btcnt=,0, method=,R,prejudgesize=,2
gid=,3, btcnt=,0, method=,M,prejudgesize=,0
gid=,3, btcnt=,7, method=,D,prejudgesize=,0
gid=,3, btcnt=,0, method=,R,prejudgesize=,0
gid=,4, btcnt=,0, method=,M,prejudgesize=,5
gid=,4, btcnt=,107, method=,D,prejudgesize=,5
gid=,4, btcnt=,1, method=,R,prejudgesize=,5
gid=,4, btcnt=,0, method=,M,prejudgesize=,6
gid=,4, btcnt=,55, method=,D,prejudgesize=,6
gid=,4, btcnt=,1, method=,R,prejudgesize=,6
gid=,4, btcnt=,0, method=,M,prejudgesize=,2
gid=,4, btcnt=,93, method=,D,prejudgesize=,2
gid=,4, btcnt=,1, method=,R,prejudgesize=,2
gid=,4, btcnt=,0, method=,M,prejudgesize=,0
gid=,4, btcnt=,57, method=,D,prejudgesize=,0
gid=,4, btcnt=,1, method=,R,prejudgesize=,0
gid=,5, btcnt=,0, method=,M,prejudgesize=,5
gid=,5, btcnt=,48, method=,D,prejudgesize=,5
gid=,5, btcnt=,2, method=,R,prejudgesize=,5
gid=,5, btcnt=,0, method=,M,prejudgesize=,6
gid=,5, btcnt=,24, method=,D,prejudgesize=,6
gid=,5, btcnt=,2, method=,R,prejudgesize=,6
gid=,5, btcnt=,0, method=,M,prejudgesize=,2
gid=,5, btcnt=,48, method=,D,prejudgesize=,2
gid=,5, btcnt=,2, method=,R,prejudgesize=,2
gid=,5, btcnt=,0, method=,M,prejudgesize=,0
gid=,5, btcnt=,26, method=,D,prejudgesize=,0
gid=,5, btcnt=,2, method=,R,prejudgesize=,0
gid=,6, btcnt=,32, method=,M,prejudgesize=,5
gid=,6, btcnt=,32, method=,D,prejudgesize=,5
gid=,6, btcnt=,196, method=,R,prejudgesize=,5
gid=,6, btcnt=,8, method=,M,prejudgesize=,6
gid=,6, btcnt=,9, method=,D,prejudgesize=,6
gid=,6, btcnt=,67, method=,R,prejudgesize=,6
gid=,6, btcnt=,54, method=,M,prejudgesize=,2
gid=,6, btcnt=,54, method=,D,prejudgesize=,2
gid=,6, btcnt=,173, method=,R,prejudgesize=,2
gid=,6, btcnt=,28, method=,M,prejudgesize=,0
gid=,6, btcnt=,28, method=,D,prejudgesize=,0
gid=,6, btcnt=,160, method=,R,prejudgesize=,0
gid=,7, btcnt=,419, method=,M,prejudgesize=,5
gid=,7, btcnt=,419, method=,D,prejudgesize=,5
gid=,7, btcnt=,821, method=,R,prejudgesize=,5
gid=,7, btcnt=,230, method=,M,prejudgesize=,6
gid=,7, btcnt=,230, method=,D,prejudgesize=,6
gid=,7, btcnt=,423, method=,R,prejudgesize=,6
gid=,7, btcnt=,196, method=,M,prejudgesize=,2
gid=,7, btcnt=,218, method=,D,prejudgesize=,2
gid=,7, btcnt=,504, method=,R,prejudgesize=,2
gid=,7, btcnt=,190, method=,M,prejudgesize=,0
gid=,7, btcnt=,190, method=,D,prejudgesize=,0
gid=,7, btcnt=,489, method=,R,prejudgesize=,0
gid=,8, btcnt=,0, method=,M,prejudgesize=,5
gid=,8, btcnt=,8, method=,D,prejudgesize=,5
gid=,8, btcnt=,354, method=,R,prejudgesize=,5
gid=,8, btcnt=,0, method=,M,prejudgesize=,6
gid=,8, btcnt=,2, method=,D,prejudgesize=,6
gid=,8, btcnt=,126, method=,R,prejudgesize=,6
gid=,8, btcnt=,0, method=,M,prejudgesize=,2
gid=,8, btcnt=,16, method=,D,prejudgesize=,2
gid=,8, btcnt=,325, method=,R,prejudgesize=,2
gid=,8, btcnt=,0, method=,M,prejudgesize=,0
gid=,8, btcnt=,7, method=,D,prejudgesize=,0
gid=,8, btcnt=,300, method=,R,prejudgesize=,0
gid=,9, btcnt=,323, method=,M,prejudgesize=,5
gid=,9, btcnt=,8, method=,D,prejudgesize=,5
gid=,9, btcnt=,536, method=,R,prejudgesize=,5
gid=,9, btcnt=,186, method=,M,prejudgesize=,6
gid=,9, btcnt=,2, method=,D,prejudgesize=,6
gid=,9, btcnt=,253, method=,R,prejudgesize=,6
gid=,9, btcnt=,170, method=,M,prejudgesize=,2
gid=,9, btcnt=,16, method=,D,prejudgesize=,2
gid=,9, btcnt=,391, method=,R,prejudgesize=,2
gid=,9, btcnt=,149, method=,M,prejudgesize=,0
gid=,9, btcnt=,7, method=,D,prejudgesize=,0
gid=,9, btcnt=,372, method=,R,prejudgesize=,0
gid=,10, btcnt=,148, method=,M,prejudgesize=,5
gid=,10, btcnt=,149, method=,D,prejudgesize=,5
gid=,10, btcnt=,590, method=,R,prejudgesize=,5
gid=,10, btcnt=,58, method=,M,prejudgesize=,6
gid=,10, btcnt=,60, method=,D,prejudgesize=,6
gid=,10, btcnt=,303, method=,R,prejudgesize=,6
gid=,10, btcnt=,133, method=,M,prejudgesize=,2
gid=,10, btcnt=,148, method=,D,prejudgesize=,2
gid=,10, btcnt=,728, method=,R,prejudgesize=,2
gid=,10, btcnt=,95, method=,M,prejudgesize=,0
gid=,10, btcnt=,95, method=,D,prejudgesize=,0
gid=,10, btcnt=,687, method=,R,prejudgesize=,0
gid=,11, btcnt=,99, method=,M,prejudgesize=,5
gid=,11, btcnt=,99, method=,D,prejudgesize=,5
gid=,11, btcnt=,862, method=,R,prejudgesize=,5
gid=,11, btcnt=,44, method=,M,prejudgesize=,6
gid=,11, btcnt=,45, method=,D,prejudgesize=,6
gid=,11, btcnt=,474, method=,R,prejudgesize=,6
gid=,11, btcnt=,121, method=,M,prejudgesize=,2
gid=,11, btcnt=,121, method=,D,prejudgesize=,2
gid=,11, btcnt=,647, method=,R,prejudgesize=,2
gid=,11, btcnt=,64, method=,M,prejudgesize=,0
gid=,11, btcnt=,64, method=,D,prejudgesize=,0
gid=,11, btcnt=,575, method=,R,prejudgesize=,0
gid=,12, btcnt=,195, method=,M,prejudgesize=,5
gid=,12, btcnt=,195, method=,D,prejudgesize=,5
gid=,12, btcnt=,640, method=,R,prejudgesize=,5
gid=,12, btcnt=,65, method=,M,prejudgesize=,6
gid=,12, btcnt=,66, method=,D,prejudgesize=,6
gid=,12, btcnt=,292, method=,R,prejudgesize=,6
gid=,12, btcnt=,153, method=,M,prejudgesize=,2
gid=,12, btcnt=,157, method=,D,prejudgesize=,2
gid=,12, btcnt=,432, method=,R,prejudgesize=,2
gid=,12, btcnt=,132, method=,M,prejudgesize=,0
gid=,12, btcnt=,132, method=,D,prejudgesize=,0
gid=,12, btcnt=,410, method=,R,prejudgesize=,0
gid=,13, btcnt=,195, method=,M,prejudgesize=,5
gid=,13, btcnt=,195, method=,D,prejudgesize=,5
gid=,13, btcnt=,134, method=,R,prejudgesize=,5
gid=,13, btcnt=,65, method=,M,prejudgesize=,6
gid=,13, btcnt=,65, method=,D,prejudgesize=,6
gid=,13, btcnt=,29, method=,R,prejudgesize=,6
gid=,13, btcnt=,141, method=,M,prejudgesize=,2
gid=,13, btcnt=,153, method=,D,prejudgesize=,2
gid=,13, btcnt=,787, method=,R,prejudgesize=,2
gid=,13, btcnt=,130, method=,M,prejudgesize=,0
gid=,13, btcnt=,130, method=,D,prejudgesize=,0
gid=,13, btcnt=,763, method=,R,prejudgesize=,0
gid=,14, btcnt=,0, method=,M,prejudgesize=,5
gid=,14, btcnt=,38, method=,D,prejudgesize=,5
gid=,14, btcnt=,680, method=,R,prejudgesize=,5
gid=,14, btcnt=,0, method=,M,prejudgesize=,6
gid=,14, btcnt=,8, method=,D,prejudgesize=,6
gid=,14, btcnt=,304, method=,R,prejudgesize=,6
gid=,14, btcnt=,0, method=,M,prejudgesize=,2
gid=,14, btcnt=,54, method=,D,prejudgesize=,2
gid=,14, btcnt=,440, method=,R,prejudgesize=,2
gid=,14, btcnt=,0, method=,M,prejudgesize=,0
gid=,14, btcnt=,33, method=,D,prejudgesize=,0
gid=,14, btcnt=,422, method=,R,prejudgesize=,0
gid=,15, btcnt=,174, method=,M,prejudgesize=,5
gid=,15, btcnt=,170, method=,D,prejudgesize=,5
